時間,Group1_AI分析中#08,Group2_AI分析中#04,Group3_AI分析中#06,Group4_AI分析中#05,Group5_AI分析中#01,Group5_AI分析中#02,Group5_AI分析中#03,Group5_AI分析中#07,
00:00,0,1.4000000000000001,1,0.4,0.4,0,9,1.7999999999999998,
00:01,0,1.7999999999999998,1.4000000000000001,0.4,0.2,0,10.4,0.4,
00:02,0,2,1.4000000000000001,0.4,0.6,0,9,0.4,
00:03,0,1.6,1.2,0,0,0,11.200000000000001,0.4,
00:04,0,1.6,1.7999999999999998,0,0,0,8.799999999999999,0.2,
00:05,0,1.7999999999999998,1.4000000000000001,0,0,0,11.600000000000001,0.4,
00:06,0,1.6,1,0,0,0,10.8,0.6,
00:07,0,1.2,0.8,0,0,0,10,0.8,
00:08,0,1.4000000000000001,1.6,0,0.4,0,10.6,0.4,
00:09,0,1,1.4000000000000001,0,0,0,8.799999999999999,1.4000000000000001,
00:10,0,1.7999999999999998,1.6,0,0,0.2,8.4,1.2,
00:11,0,1.7999999999999998,1,0,0.4,0,10,0.8,
00:12,0,1.4000000000000001,1.6,0.2,0.2,0,9,1,
00:13,0,1.2,1.4000000000000001,0,0,0,10,0.2,
00:14,0,1.2,1.2,0.2,0.2,0,9.6,0.2,
00:15,0,1.6,1.6,0,0,0,10,0.2,
00:16,0,1.7999999999999998,1,0.2,0.2,0,8.799999999999999,0.4,
00:17,0,1.7999999999999998,1,0,0,0,12.6,0.4,
00:18,0,1.4000000000000001,1,0,0,0,10.8,1.4000000000000001,
00:19,0,2,1.6,0,0,0,10.6,0.4,
00:20,0,2,1.2,0.2,0.4,0,9.2,0.4,
00:21,0,1.6,2,0,0,0,10.8,0.2,
00:22,0,1.6,1.2,0.2,0,0,10,0.8,
00:23,0,1.6,1,0,0,0,9.6,1.2,
00:24,0,2,0.8,0,0,0,10.6,0,
00:25,0,1.4000000000000001,1.2,0.4,1,0,9.8,0.6,
00:26,2.6,1,210,1799.2,1238.8,5627.2,605.8,763,
00:27,10.8,0,503.4,4741.2,3123,14097.800000000001,1610.3999999999999,1949.2,
00:28,11,0,511.59999999999997,4558.8,3171.2,14352.6,1584.2,1938.4,
00:29,3.5999999999999996,1,212.4,2020,1351.2,5789.8,682.4,821.4000000000001,
00:30,0,1.7999999999999998,1.2,0,0,0,11.200000000000001,0.2,
00:31,0,1.7999999999999998,0.8,0.2,0.6,0,9.6,1,
00:32,0,1.2,1,0.2,0,0,9.4,2.4,
00:33,0,2,0.8,0.2,0,0,10.4,0.2,
00:34,0,1.7999999999999998,0.8,0.2,0,0,11.200000000000001,0,
00:35,0,1.7999999999999998,1.2,0,0,0,9.2,1,
00:36,0,1.7999999999999998,1,0,0.2,0,10.8,0,
00:37,0,1.7999999999999998,1,0,0,0,12.6,0.2,
00:38,0,1.7999999999999998,1.4000000000000001,0,0,0,11.600000000000001,0.2,
00:39,0,1.7999999999999998,1.2,0,0,0,10,0.2,
