時間,Group1_Production_産業機械_#03,Group1_Production_産業機械_#08,Group1_Production_産業機械_#12,Group1_Production_産業機械_#13,Group2_Production_産業機械_#01,Group2_Production_産業機械_#02,Group2_Production_産業機械_#05,Group3_Production_産業機械_#10,Group3_Production_産業機械_#11,Group3_Production_産業機械_#15,Group4_Production_産業機械_#16,Group5_Production_産業機械_#07,Group6_Production_産業機械_#14,Group7_Production_産業機械_#09,Group8_Production_産業機械_#04,Group9_Production_産業機械_#06,
00:00,0,117.39999999999999,0,275.59999999999997,0,0,383.8,735.6,202,667.8,0,0,3.5999999999999996,0,0,1032.8,
00:01,0,113.79999999999998,0,303.79999999999995,0,0,383.2,731,206,683,0,0,1.2,0,0,1022.8,
00:02,0,125.8,0,316,0,0,389,740.2,208.2,696,0,0,0.8,0,0,1060.2,
00:03,0,109.2,0,315.6,0,0,403.8,739.4,208.2,703.8000000000001,0,0,1,0,0,1085.6,
00:04,0,120.19999999999999,0,317.6,0,0,386.4,731.4,206.99999999999997,698.2,0,0,7.6,0,0,1064.2,
00:05,0,107.2,0,289.59999999999997,0,0,409.8,713.1999999999999,206.6,671.1999999999999,0,0,15.4,0,0,1081.6000000000001,
00:06,0,110.2,0,284.2,0,0,410.79999999999995,713.1999999999999,203.2,692.8,0,0,11.200000000000001,0,0,1068,
00:07,0,108.4,0,298.8,0,0,413,741.4,204.4,701.6,0,0,7.6,0,0,1105.2,
00:08,0,122.6,0,285.2,0,0,396.8,715.2,201.2,676.1999999999999,0,0,13.4,0,0,1033.6000000000001,
00:09,0,146.4,0,304.59999999999997,0,0,390.6,742.8,202.2,676.8,0,0,9.6,0,0,1082.1999999999998,
00:10,0,146.4,0,291.8,0,0,375.8,704.1999999999999,200.99999999999997,657.5999999999999,0,0,15.6,0,0,986.8000000000001,
00:11,0,128.6,0,314,0,0,394,754,201.6,702.4,0,0,2.6,0,0,1092.6,
00:12,0,126,0,302,0,0,388.6,728.8000000000001,200.59999999999997,690.8000000000001,0,0,8.200000000000001,0,0,1059,
00:13,0,152.8,0,311.2,0,0,385,740.2,200.4,694,0,0,7.199999999999999,0,0,1073.1999999999998,
00:14,0,59.599999999999994,0,173.2,0,3.8,501.6,918.2,258.40000000000003,844.2,0,933,28.799999999999997,0,0,716,
00:15,0,0,0,19.8,0,9,701.8,1150.3999999999999,340.8,1110,0,2220,18.6,0,0,366.59999999999997,
00:16,0,15.8,0,192.2,0,0,428.4,784.1999999999999,215.60000000000002,735,0,0,18,0,0,918.2,
00:17,0,46.2,0,230.6,0,0,437.8,813.4000000000001,223.60000000000002,730.8,0,0,19,0,0,990,
00:18,0,13.8,0,185.20000000000002,0,0,431.20000000000005,787.8,213,741.2,0,0,19.8,0,0,898.6,
00:19,46.2,183.20000000000002,210.4,462.8,219.79999999999998,9.4,497.6,1006.1999999999999,299.6,780.6,0,223.20000000000002,75.2,0,0,962.8,
00:20,0,0,0,0,0,26.6,786.5999999999999,1152,364.2,1102.8,4.8,2447.6,43,0,0,320.2,
00:21,20.200000000000003,0,0,120.8,1.2,7.199999999999999,529.8,967,265.6,807.6,0,618.4,31.6,0,0,668.2,
00:22,0,45.6,0,189,0,0,413.2,815,206,719.4,0,0,32.2,0,0,844.6,
00:23,0,49.8,0,223.60000000000002,0,0,426.19999999999993,824.2,217.79999999999998,710.2,0,0,27.400000000000002,0,0,936.4000000000001,
00:24,0,25.2,0,190.2,0,0,417.6,814.8,205.6,731.4,0,0,26,0,0,850.8,
00:25,0,27.800000000000004,0,177,0,0,415.59999999999997,847.8,211.60000000000002,703,0,0,25,0,3.8,858.6,
00:26,0,8.799999999999999,0,178.8,0,0,420.8,830.4,209.39999999999998,728.2,0,0,22.6,0,0,864.4,
00:27,0,5.6000000000000005,0,183.4,0,0,417.8,822.4,206,731.4,0,0,21.2,0,0,872.4,
00:28,0,10.2,0,185.4,0,0,422,818.4,208.8,726.1999999999999,0,0,25.4,0,0,856.6,
00:29,0,22,0,189,0,0,417.6,812.4000000000001,208.8,728.5999999999999,0,0,23.799999999999997,0,0,840.6,
00:30,0,28.000000000000004,0,210,0,0,424.8,805.5999999999999,210.4,708.6,0,0,31.4,0,0,883.8,
00:31,0,43.2,0,230.6,0,0,428.8,809.8000000000001,216.6,690.2,0,0,34.8,0,0,900,
00:32,0,36.199999999999996,0,200,0,0,427.20000000000005,827.3999999999999,207.6,735.8,0,0,24.6,0,2.6,881,
00:33,0,19.6,0,180.8,0,0,435.79999999999995,877.9999999999999,217.4,717,0,25.8,34.8,0,0,836.2,
00:34,0,0,0,0,0,22.2,687.2,1097.2,324.6,1073.4,0,2269.8,65.2,0,0,60.4,
00:35,0,0,0,0,0,8.799999999999999,641.8000000000001,1056.6000000000001,305.2,1035.8,0,2230.3999999999996,78,0,0,13.8,
00:36,0,0,0,0,0,11.200000000000001,644.8000000000001,1055,304,1033.6000000000001,0,2199.8,76.8,0,0,23.599999999999998,
00:37,0,0,0,0,0,9.8,637.8,1060.3999999999999,299.8,1037.4,0,2193,71.8,0,0,17.599999999999998,
00:38,0,0,0,0,0,10.6,653.8000000000001,1078.4,304.2,1037.8,0,2161,75.6,0,0,11,
00:39,0,5.800000000000001,0,178.4,0,1.4000000000000001,468.6,897.8,230.20000000000002,730,0,190.2,40.8,0,0,794,
00:40,0,19.8,0,188.2,0,0,423.00000000000006,817.6,206.99999999999997,732.2,0,0,25.4,0,0,849,
00:41,0,24.4,0,185.8,0,0,420.8,822.8,208.8,729.4,0,0,25.4,0,0,847.0000000000001,
00:42,0,64.8,0,225.59999999999997,0,0,432.4,843.2,217.60000000000002,716,0,0,31.2,0,0,936.4000000000001,
00:43,0,33.800000000000004,0,193.4,0,0,420.6,819.2,206,724,0,0,30.4,0,0,851.6,
00:44,0,53.800000000000004,0,217.20000000000002,0,0,438.6,884.6,223.20000000000002,701.8,0,97.2,41.199999999999996,0,0,910.3999999999999,
00:45,0,55.00000000000001,0,232.20000000000002,0,0,436.4,833.6,216.4,715.4,0,0,33.6,0,0,957.4,
00:46,0,42.6,0,225.8,0,0,439.79999999999995,822.0000000000001,218.8,716.4,0,0,33.4,0,0,930.4,
00:47,0,27.200000000000003,0,220.00000000000003,0,0,442.8,828.9999999999999,220.4,721.4000000000001,0,0,33,0,0,919.4000000000001,
00:48,0,60.8,0,228.39999999999998,0,0,436.8,861.2,222.8,706,0,0,35.6,0,0,953.8000000000001,
00:49,0,45.800000000000004,0,221.20000000000002,0,0,437.2,827.6,219.20000000000002,711.8000000000001,0,0,39,0,0,921.0000000000001,
00:50,0,57.8,0,241.8,0,0,448.20000000000005,852.2,222.00000000000003,749.8000000000001,0,0,28.999999999999996,0,0,1010.8000000000001,
00:51,0,30.2,0,234.20000000000002,0,0,450.8,847.6000000000001,224.40000000000003,734,0,0,31,0,0,984,
00:52,0,29.799999999999997,0,242.79999999999998,0,0,448.20000000000005,851.8000000000001,223.20000000000002,736.2,0,0,26.400000000000002,0,0,1000.4,
00:53,0,24.2,0,226.6,0,0,436.2,826.4,220.8,717.1999999999999,0,0,31.4,0,0,939.4,
00:54,0,34.2,0,226.79999999999998,0,0,437,826.2,219.79999999999998,721.4000000000001,0,0,31.4,0,0,925.8,
00:55,0,17,0,211.20000000000002,0,0,434.40000000000003,826.6,215.20000000000002,737.2,0,0,28.999999999999996,0,0,898.4,
00:56,0,24.2,0,227.4,0,0,440.59999999999997,835.8000000000001,216.4,740.8000000000001,0,0,26.6,0,0,936.5999999999999,
00:57,0,45,0,239,0,0,440.00000000000006,854.4000000000001,220.6,734.1999999999999,0,0,27.800000000000004,0,0,965.8,
00:58,0,36.199999999999996,0,235.4,0,0,449.2,849.2,219.20000000000002,748,0,0,29.799999999999997,0,0,968.4,
00:59,0,14.2,0,195.79999999999998,0,0,434.6,816,211.39999999999998,730,0,0,30.8,0,0,859,
01:00,0,24.2,0,211.39999999999998,0,0,437.2,816,217.60000000000002,713,0,0,36.199999999999996,0,0,906,
01:01,0,20,0,223.4,0,0,436.4,834.4,218.00000000000003,716.8000000000001,0,0,32.6,0,0,932.4,
01:02,0,34.2,0,241.4,0,0,450.8,880.4,219,753.2,0,0,23.799999999999997,0,0,1016.6,
01:03,0,23.200000000000003,0,224.6,0,0,438.8,826.2,214,724.6,0,0,32.4,0,0,919.4000000000001,
01:04,0,42.8,0,213.39999999999998,0,0,433.4,792.4000000000001,211,732,0,0,41,0,0,869.4000000000001,
01:05,0,39.6,0,221,0,0,434.8,826,216.8,722.4,0,0,35.199999999999996,0,0,905.0000000000001,
01:06,0,11.799999999999999,0,208.4,0,0,419.00000000000006,800.4,211.20000000000002,725,0,0,32.2,0,0,878.9999999999999,
01:07,0,9.8,0,192.6,0,0,414.20000000000005,810.8000000000001,208.6,725.1999999999999,0,0,24.8,0,0,869,
01:08,0,37.2,0,249.8,0,0,440.00000000000006,770.8000000000001,222.8,702.2,0,0,37.8,0,0,962.5999999999999,
01:09,0,11.799999999999999,0,202,0,0,433.2,764.4,208.6,750.4,0,0,32.800000000000004,0,0,868.4,
01:10,0,5,0,200.59999999999997,0,0,436.4,764.4,206.4,756,0,0,31,0,0,875.4,
01:11,0,14.000000000000002,0,204.4,0,0,436.2,764.6,207.20000000000002,753.4,0,0,32,0,0,863.1999999999999,
01:12,0,10.2,0,204.99999999999997,0,0,431.20000000000005,767.1999999999999,207.39999999999998,754,0,0,28.999999999999996,0,0,864.4,
01:13,0,30.2,0,204.2,0,0,424.2,776.6,211.39999999999998,735,0,0,29.599999999999998,0,0,861.8000000000001,
01:14,0,20.200000000000003,0,137.20000000000002,0,0,449,987.8,238.60000000000002,703.8000000000001,0,293.8,51.6,0,0,690.4,
01:15,0,35.4,0,115.6,0,0,451,1026.2,244.79999999999998,688,0,367.6,56.39999999999999,0,0,656.8,
01:16,0,27.6,0,197,0,0,427.20000000000005,760,207.39999999999998,757.8000000000001,0,0,26.200000000000003,0,0,873.6,
01:17,0,12,0,196.4,0,0,426.6,756.6,206,757.4,0,0,25.4,0,0,896.1999999999999,
01:18,0,56.8,0,188.79999999999998,0,0,454.2,905.0000000000001,244.79999999999998,681.4,0,236.39999999999998,55.00000000000001,0,0,822.4,
01:19,0,36.8,0,183.6,0,0,443,878.2,227.59999999999997,702.6,0,157.6,42.4,0,0,804.4000000000001,
01:20,0,34,0,237.6,0,0,434.2,754.6,213.79999999999998,651.8,0,0,53,0,0,965.1999999999999,
01:21,0,48,0,188,0,0,408.6,748,179,603.8000000000001,0,0,69.39999999999999,0,0,943,
01:22,0,320.40000000000003,0,238.79999999999998,0,0,206.8,740,137.4,423.00000000000006,0,0,68.8,0,0,655.1999999999999,
01:23,0,314.59999999999997,0,254.6,0,0,203.39999999999998,743.4,136.8,416.6,0,0,67.80000000000001,0,0,666,
01:24,0,334.8,0,286.4,0,0,215,770.4,144.2,425,0,0,63.800000000000004,0,0,754.1999999999999,
01:25,0,323.8,0,276,0,0,209.39999999999998,774.2,141,438.6,0,0,56.599999999999994,0,16.6,736.2,
01:26,0,310.2,0,249.00000000000003,0,0,206.99999999999997,747,138.39999999999998,421.6,0,0,68,0,0,653.2,
01:27,0,329,0,246,0,0,197.6,735.6,134.8,421.2,0,0,66.2,0,0,659.1999999999999,
01:28,0,324.8,0,248.8,0,0,198,739.6,134,418.6,0,0,71,0,0,649.4,
01:29,0,331.4,0,252.2,0,0,197.6,742.4000000000001,137.4,415.00000000000006,0,0,71.6,0,0,636.8000000000001,
01:30,0,320.40000000000003,0,250.2,0,0,197.6,737.4,135.4,425.6,0,0,66.8,0,0,652,
01:31,0,323.8,0,246.60000000000002,0,0,205.20000000000002,734.8,134.8,426,0,0,70.6,0,0,644.6,
01:32,0,328.6,0,246.4,0,0,200,740,136.20000000000002,417.8,0,0,70.6,0,0,645,
01:33,0,330.79999999999995,0,243.2,0,0,204.6,733.8,136.20000000000002,423.80000000000007,0,0,72,0,0,642.4000000000001,
01:34,0,319.20000000000005,0,246.8,0,0,202,744.2,136,416.2,0,0,69,0,0,653.8000000000001,
01:35,0,326,0,243.2,0,0,201.2,748.2,135.20000000000002,402.20000000000005,0,0,75,0,0,653.4,
01:36,0,339.59999999999997,0,242.60000000000002,0,0,195.6,746.1999999999999,135.20000000000002,396,0,0,76,0,0,651.4,
01:37,0,342.8,0,239.2,0,0,198.8,751,136,391.8,0,0,80.2,0,0,637.8,
01:38,0,322.40000000000003,0,243.6,0,0,199.2,751.6,134.20000000000002,399.6,0,0,75,0,0,651.4,
01:39,0,310,0,235.2,0,0,204.8,751.6,134.4,407.2,0,0,70.6,0,0,670.6,
