時間,Group1_Production_包装機(産業機械)_#06,Group1_Production_包装機(産業機械)_#16,Group2_Production_産業機械_#04,Group2_Production_産業機械_#05,Group2_Production_産業機械_#08,Group2_Production_産業機械_#11,Group2_Production_産業機械_#13,Group3_Production_成形機(産業機械)_#02,Group4_Production_産業機械_#03,Group4_Production_産業機械_#09,Group4_Production_産業機械_#12,Group5_Production_産業機械_#14,Group6_Production_産業機械_#01,Group7_Production_産業機械_#07,Group8_Production_産業機械_#15,Group9_Production_産業機械_#10,
00:00,1072.8,1.4000000000000001,1907,955.0000000000001,1216.3999999999999,929.5999999999999,1572.8,1567.6,1726.8000000000002,1838.2,325.2,434.2,401.40000000000003,100.6,15,0,
00:01,1058.6000000000001,1.7999999999999998,1958.6,993.6,1212.4,926.8000000000001,1584,1626.0000000000002,1835.6000000000001,1866.1999999999998,311,481.4,413.40000000000003,74,18.8,0,
00:02,1174.8,2.1999999999999997,2146.3999999999996,1116.3999999999999,1335,994.8000000000001,1723,1768.8,2034.8,2101.4,328.2,540.2,498.59999999999997,60.6,15.8,0.8,
00:03,1124.4,2.1999999999999997,2100.2,1062.4,1288,933.6,1684.8,1778.6000000000001,1936.1999999999998,1996.6000000000001,333.8,500.8,511.4,64.60000000000001,9.6,0.4,
00:04,1322,3.8,2287.8,1189.8,1422.2,997.8,1897.4,1790.4,2048.2,2194,310.59999999999997,569.8000000000001,628.8000000000001,33.800000000000004,3.4000000000000004,0,
00:05,1358.6000000000001,4,2109.7999999999997,1109.8000000000002,1278.4,984.8000000000001,1763.2,1590.4,1904.2000000000003,2077.4,343.2,524.6,611,21.2,0.6,0,
00:06,1366,4,2107.6,1127,1267.2,987.2,1764.6000000000001,1555.2,1912.8,2075.7999999999997,333.40000000000003,533.1999999999999,597.6,38,2.8000000000000003,0,
00:07,1399,4.8,2244.2,1159.3999999999999,1340.1999999999998,975,1878.3999999999999,1597.6000000000001,2001.0000000000002,2205.2,304,607.5999999999999,637.8,8.6,3.8,0,
00:08,1217.6,3.8,2158.8,1084.2,1262,905.8,1788.4,1663.6,1944.0000000000002,2062.8,316.8,558.8,573.6,20.4,4.2,0,
00:09,1195.2,2.4,2000.1999999999998,1026.6,1216.6000000000001,989.6000000000001,1640.6,1504.8,1860.2,2047,325.2,515.2,419.4,51.4,13.4,0,
00:10,1172.2,2.1999999999999997,1930.9999999999998,993.4,1190.1999999999998,938.0000000000001,1635.2,1482.6000000000001,1798.9999999999998,1951.8000000000002,315.8,489.79999999999995,421.40000000000003,64,13.8,0,
00:11,1084.6,2.1999999999999997,1981.2,1015,1218.3999999999999,927.6,1656.2,1516,1834.6,1977.8,282.6,525.8,404.6,65.2,17.2,0,
00:12,1271,3.2,2205,1130.2,1384,956.4,1868.1999999999998,1740.8000000000002,1956.6,2109.4,292,547.8,567.1999999999999,47.4,12,0,
00:13,1275.8,2.8000000000000003,2150,1097.6000000000001,1366.2,993.2,1840.8000000000002,1657,1907.6000000000001,2136.7999999999997,315.8,509.6,529,61.8,5.2,0,
00:14,1419.8,4.2,2260.6000000000004,1219.4,1360.8,1046.2,1894.0000000000002,1703.2,2069.6000000000004,2207.6,308.8,596.1999999999999,627.6,22.2,2.1999999999999997,0,
00:15,1363.4,4.6,2194.2,1141,1292.6,949.8,1816.8,1552.3999999999999,1941.6000000000001,2162.2,296.4,581,605.6,12.4,2,0,
