時間,Group1_Production_産業機械_#06,Group2_Production_産業機械_#09,Group3_Production_産業機械_#01,Group3_Production_産業機械_#03,Group3_Production_産業機械_#12,Group3_Production_産業機械_#14,Group3_Production_産業機械_#15,Group4_Production_産業機械_#04,Group4_Production_産業機械_#10,Group5_Production_製造機械_#02,Group5_Production_製造機械_#08,Group5_Production_製造機械_#13,Group6_Production_産業機械_#05,Group6_Production_産業機械_#07,Group6_Production_産業機械_#11,Group7_Production_産業機械_#16,
00:00,17,0.4,11.600000000000001,14.6,0,75.8,0,0,0,1,0,13.8,0,1,26,0,
00:01,16.8,0.8,11.799999999999999,14.799999999999999,0.4,76.4,0,0,0,1.2,0,13,0,0.8,27.200000000000003,0,
00:02,17,0.6,11.600000000000001,15,0.2,76.8,0,0,0,1.2,0,13.600000000000001,0,0.6,26.8,0,
00:03,17,0.8,11.4,14.6,0,77,0,0,0,1.2,0,13.600000000000001,0,0.6,27,0,
00:04,16.6,0.6,11.799999999999999,14.6,0.2,76.8,0,0,0,1,0,13,0,0.6,27.200000000000003,0,
00:05,16.400000000000002,0.2,11.799999999999999,14.000000000000002,0,76.4,0,0,0,0.8,0,13,0,1.4000000000000001,27.800000000000004,0,
00:06,17,0.6,11.600000000000001,14.6,0.2,77,0,0,0,1,0,13.4,0,0.2,26.8,0,
00:07,16.8,0.4,12.2,14.799999999999999,0,77,0,0,0,1,0,13.4,0,0.2,27,0,
00:08,17,0.8,12,14.399999999999999,0,77.2,0,0,0,1,0,13.4,0,0.6,27.200000000000003,0,
00:09,17.2,0.6,12.2,14.6,0,76.6,0,0,0,1,0,13.600000000000001,0,0.4,27.400000000000002,0,
00:10,16.8,1,11.600000000000001,14.6,0.2,77.8,0,0,0,1.2,0,13.200000000000001,0,0.4,27.200000000000003,0,
00:11,16.8,0.6,12.2,14.399999999999999,0,77.2,0,0,0,1,0,13.4,0,0.8,27.800000000000004,0,
00:12,17,0.6,11.799999999999999,14.399999999999999,0,77,0,0,0,1,0,13.8,0,0.8,27,0,
00:13,17.2,1,11.799999999999999,14.799999999999999,0,78,0,0,0,1.2,0,13.8,0,0.2,27.6,0,
00:14,17,0.8,11.600000000000001,14.2,0.2,77.60000000000001,0,0,0,1.2,0,13.600000000000001,0,0.4,27,0,
00:15,16.8,0.6,11.799999999999999,14.399999999999999,0.2,76.8,0,0,0,1,0,13.4,0,0.4,27.200000000000003,0,
00:16,17,0.6,12,14.799999999999999,0,77,0,0,0,1,0,13.600000000000001,0,0.4,27.200000000000003,0,
00:17,17,0.8,11.799999999999999,14.399999999999999,0.2,77,0,0,0,1,0,13.4,0,0.6,26.8,0,
00:18,17.2,0.6,12.2,14.000000000000002,0,76.2,0,0,0,1,0,13.8,0,1.2,27.400000000000002,0,
00:19,17.2,1.2,11.799999999999999,14.799999999999999,0.2,78,0,0,0,1.2,0,13.4,0,0.2,27.800000000000004,0,
00:20,17,0.6,12,14.6,0,77.4,0,0,0,0.8,0,13.600000000000001,0,0.2,27.200000000000003,0,
00:21,17,0.8,12,14.6,0,77.60000000000001,0,0,0,1,0,13.4,0,0.2,27.800000000000004,0,
00:22,16.6,0,11.799999999999999,13.8,0,76.8,0,0,0,0.6,0,13.4,0,1,28.4,0,
00:23,16.6,0.2,12,14.2,0,77,0,0,0,0.8,0,13.200000000000001,0,0.6,28.000000000000004,0,
00:24,16.8,0.4,11.799999999999999,14.799999999999999,0,77,0,0,0,0.8,0,13.4,0,0.6,27.6,0,
00:25,17,0.6,11.4,14.2,0,77,0,0,0,1,0,13.8,0,0,27.200000000000003,0,
00:26,16.2,0,12.2,14.000000000000002,0,76,0,0,0,0.6,0,12.8,0,1.4000000000000001,28.199999999999996,0,
00:27,17,0.8,11.600000000000001,14.799999999999999,0,77.2,0,0,0,1,0,13.4,0,0.2,27,0,
00:28,17.2,1,12,14.6,0,77,0,0,0,1.2,0,13.600000000000001,0,0,27.6,0,
00:29,17,0.8,12.2,14.6,0,77.4,0,0,0,1,0,13.4,0,0,27.400000000000002,0,
00:30,17,0.8,12.2,14.6,0.2,76.8,0,0,0,1,0,13.200000000000001,0,0.2,27.400000000000002,0,
00:31,17.2,0.6,12.2,14.399999999999999,0,77.4,0,0,0,1,0,13.600000000000001,0,0,27.6,0,
00:32,17.2,0.8,12.2,14.2,0.2,77,0,0,0,1.2,0,13.4,0,0.4,28.000000000000004,0,
00:33,17,0.6,12.2,14.799999999999999,0,77.4,0,0,0,1,0,13.4,0,0.2,27.400000000000002,0,
00:34,16.8,0.4,12,14.2,0,76.6,0,0,0,0.8,0,13.200000000000001,0,0.4,27.800000000000004,0,
00:35,16.8,0.6,12.2,14.799999999999999,0,77,0,0,0,1,0,13,0,0.4,28.000000000000004,0,
00:36,17,1,11.799999999999999,14.799999999999999,0,77.4,0,0,0,1,0,13.200000000000001,0,0,27.400000000000002,0,
00:37,17,0.8,11.799999999999999,14.6,0,77.2,0,0,0,1,0,13.200000000000001,0,0,26.8,0,
00:38,17,1,12,14.799999999999999,0,77.2,0,0,0,1.2,0,13.200000000000001,0,0.2,27.6,0,
00:39,17,0.8,12.4,15,0,77.2,0,0,0,1,0,12.8,0.4,0,28.199999999999996,0,
00:40,17,0.8,12.8,14.6,0,77.2,0,0,0,0.8,0,13,0,0,27.800000000000004,0,
00:41,17,1.2,12,14.6,0,77.8,0,0,0,1,0,13.200000000000001,0,0,27.6,0,
00:42,17.2,1,12.2,14.399999999999999,0,77.60000000000001,0,0,0,1,0,13.200000000000001,0,0,28.000000000000004,0,
00:43,16.8,0.6,12.4,14.2,0.2,77.8,0,0,0,0.8,0,13,0,0.2,28.599999999999998,0,
00:44,16.6,0.4,12.8,14.000000000000002,0,77,0,0,0,0.8,0,13,0,0.2,28.799999999999997,0,
00:45,16.8,1,12.4,14.2,0,77.8,0,0,0,1,0,13,0,0.2,28.4,0,
00:46,16.400000000000002,0.2,12.4,13.600000000000001,0,76.8,0,0,0,0.6,0,12.8,0,0.6,28.4,0,
00:47,17,1,12.2,14.399999999999999,0,78,0,0,0,1,0,13.200000000000001,0,0,27.800000000000004,0,
00:48,16.8,0.6,12.6,14.2,0,77,0,0,0,0.8,0,13,0,0,28.199999999999996,0,
00:49,16.6,0.2,12.6,13.600000000000001,0,76.8,0,0,0,0.6,0,13,0,0.6,28.4,0,
00:50,17,1.2,12.4,14.2,0,77.4,0,0,0,1,0,13,0,0,28.199999999999996,0,
00:51,16.8,1,12.6,14.000000000000002,0.2,77.4,0,0,0,1,0,12.6,0,0.2,28.4,0,
00:52,16.400000000000002,0.2,12.6,14.000000000000002,0,76.8,0,0,0,0.6,0,12.8,0,0,28.799999999999997,0,
00:53,17,1,12.6,14.000000000000002,0.2,77.60000000000001,0,0,0,1,0,13,0,0.2,28.199999999999996,0,
00:54,16.6,1,12.8,14.2,0.2,77.4,0,0,0,1,0,12.4,0,0.2,28.599999999999998,0,
00:55,16.2,0.4,12.6,13.8,0.2,76.8,0,0,0,0.6,0,12.6,0,0.2,28.599999999999998,0,
00:56,16.400000000000002,0,12.6,13.8,0,76.8,0,0,0,0.4,0,12.8,0,0,28.799999999999997,0,
00:57,17,1,12.6,14.2,0,78,0,0,0,0.8,0,12.8,0,0,28.599999999999998,0,
00:58,16.400000000000002,0,12.6,14.000000000000002,0,76.8,0,0,0,0.6,0,12.8,0,0.2,28.799999999999997,0,
00:59,16.400000000000002,0,12.6,13.8,0,76.8,0,0,0,0.6,0,12.8,0,0.2,28.999999999999996,0,
