時間,Group1_AI分析中#08,Group2_AI分析中#04,Group3_AI分析中#06,Group4_AI分析中#05,Group5_AI分析中#01,Group5_AI分析中#02,Group5_AI分析中#03,Group5_AI分析中#07,
00:00,0,2.1999999999999997,1.4000000000000001,0,0,0,0.6,13.600000000000001,
00:01,0,1.7999999999999998,0.6,0,0,0,2.6,12.2,
00:02,0,2,1.6,0.2,0,0,0.8,11.600000000000001,
00:03,0,2,0.8,0,0,0,1,12.8,
00:04,0,1.7999999999999998,1.4000000000000001,0,0,0,1.4000000000000001,12.2,
00:05,0,2,1.6,0,0,0,2.4,10.8,
00:06,0,2,1,0,0,0,0.8,13.200000000000001,
00:07,0,1.7999999999999998,1.6,0.2,0,0,1,11.4,
00:08,0,1.7999999999999998,2.8000000000000003,0,0,0,1.4000000000000001,10.2,
00:09,0,1.7999999999999998,0.4,0,0,0,1.6,13.600000000000001,
00:10,0,2,1.6,0,0,0,1.7999999999999998,12,
00:11,0,1.6,0.4,0,0,0,2.4,12.8,
00:12,0,1.7999999999999998,0.6,0,0,0,2,13,
00:13,0,2,0.6,0,0,0,1,14.000000000000002,
00:14,0,2.1999999999999997,1.7999999999999998,0,0,0,1.6,13.4,
00:15,0,2.1999999999999997,2,0,0,0,0.8,13.600000000000001,
00:16,0,2.1999999999999997,1.6,0,0,0,1.2,13.8,
00:17,0,2,1,0,0,0.2,1.4000000000000001,13.200000000000001,
00:18,0,2,2.1999999999999997,0.8,0,0,1.2,10.2,
00:19,0,1.7999999999999998,0.8,0,0,0,2.8000000000000003,12.2,
00:20,0,1.7999999999999998,0.8,0,0,0,1.6,12.2,
00:21,0,1.7999999999999998,1.7999999999999998,0,0,0,2,10.2,
00:22,0,1.7999999999999998,1.2,0.4,0,0,1.2,12.6,
00:23,0,2,1.4000000000000001,0,0,0,4,12.4,
00:24,0,1.6,1.4000000000000001,0,0,0.2,1.6,11.600000000000001,
00:25,0,1.6,1.6,0.8,0,0,1.6,10.4,
00:26,0,1.7999999999999998,1.7999999999999998,0,0,0.2,2,10.6,
00:27,0,1.6,1,0,0,0,2,11.200000000000001,
00:28,0,1.6,1.2,0,0,0,2.1999999999999997,11,
00:29,0,1.6,0.8,0,0,0,3,12.6,
00:30,0,1.4000000000000001,1.7999999999999998,0,0,0,2.6,10.4,
00:31,0,1.7999999999999998,1,0,0,0,4.2,11.799999999999999,
00:32,0,1.6,2.1999999999999997,0,0,0,3.2,10.4,
00:33,0,1.6,1.4000000000000001,0,0,0,1.7999999999999998,12.4,
00:34,0,1.7999999999999998,1.7999999999999998,0.6,0,0,2.4,11.600000000000001,
00:35,0,1.4000000000000001,0.6,0,0,0,3.5999999999999996,11.200000000000001,
00:36,0,1.7999999999999998,0.6,0,0,0,3,11.200000000000001,
00:37,0,1.7999999999999998,1.4000000000000001,0.4,0,0.2,1.4000000000000001,10.6,
00:38,0,1.7999999999999998,2.1999999999999997,0.4,0,0,2.8000000000000003,10.2,
00:39,0,1.6,1,0,0,0,2.1999999999999997,12.2,
00:40,0,1.6,1.7999999999999998,0,0,0,3,11.600000000000001,
00:41,0,1.7999999999999998,0.4,0,0,0,1,13.4,
00:42,0,2.4,1.4000000000000001,0,0,0,0.6,14.399999999999999,
00:43,0,2.6,2,0,0,0,0,14.399999999999999,
00:44,0,2,1.2,0,0,0,4.3999999999999995,12.2,
00:45,0,2,0.6,0,0,0,1,15.2,
00:46,0,2.1999999999999997,0.8,0,0,0,2.4,16,
00:47,0,2.1999999999999997,1.6,0,0,0,1.2,13.600000000000001,
00:48,0,2.4,0.8,0,0,0,1,15.6,
00:49,0,2.4,1,0,0,0,0.2,14.6,
00:50,0,2.1999999999999997,0.4,0,0,0,0.8,15,
00:51,0,2.6,0.6,0,0,0,1,16,
00:52,0,2.4,1.7999999999999998,0,0,0,1.2,15.2,
00:53,0,2.1999999999999997,1.2,0,0,0,0.4,14.399999999999999,
00:54,0,2.4,1.7999999999999998,0.4,0,0,1.2,14.000000000000002,
00:55,0,2.6,1.2,0.4,0,0.2,0.4,15,
00:56,0,2.1999999999999997,1.2,0,0,0,0.8,14.799999999999999,
