時間,Group1_Production_産業機械_#02,Group1_Production_産業機械_#03,Group1_Production_産業機械_#07,Group1_Production_産業機械_#13,Group2_Production_産業機械_#01,Group2_Production_産業機械_#05,Group2_Production_産業機械_#09,Group2_Production_産業機械_#10,Group2_Production_産業機械_#14,Group3_Production_産業機械_#08,Group4_Production_産業機械_#04,Group5_Production_生産機械_#06,Group6_Production_生産機械_#12,Group7_Production_製造機械_#15,Group8_Production_産業機械_#16,Group9_Production_生産機械_#11,
00:00,0,1,1.6,0,0,0,0.6,10,0,0,0,0.4,0,2.8000000000000003,0,0,
00:01,0,1.6,1.4000000000000001,0,0,0,1.6,10.6,0,0,0.2,0.2,0,1.6,0,0.2,
00:02,334,206.99999999999997,571.1999999999999,442.2,334.2,431.79999999999995,286.2,453.59999999999997,375.8,105.60000000000001,58.599999999999994,45.6,262.40000000000003,17.4,0,1,
00:03,2231.4,1340,3750.8,2945.4,2181,3062,1888.6,3208.6,2761.7999999999997,835.6,414.20000000000005,290.2,1671,45.6,6.6000000000000005,0,
00:04,2225.4,1388.4,3725.2000000000003,2873.6,2269.4,3031.2000000000003,1850.6,3269.4,2749.6,849.2,424.4,281.59999999999997,1763.8000000000002,22.8,6.6000000000000005,0,
00:05,2246.6,1424.8,3744,2967.6,2177,3075.7999999999997,1879.4,3185,2667.6,792.1999999999999,418.40000000000003,284.2,1822.4,37.2,6.4,0,
00:06,743.4,490.8,1251.8000000000002,1005.5999999999999,695.2,1004.4000000000001,622.8,1039.6000000000001,874.6,288.8,137.79999999999998,92.60000000000001,621.4000000000001,26,0.6,0,
00:07,0,1.6,1.2,0,0,0,0.6,9.6,0,0,0.2,0.2,0,2.8000000000000003,0,0.2,
00:08,0,1.4000000000000001,0.4,0,0,0,1.7999999999999998,10.4,0,0.2,0.2,0,0,1.2,0,0.2,
00:09,0,1.4000000000000001,1.2,0,0,0,1.2,8.6,0,0.6,0.6,0.4,0,2.6,0,0.4,
00:10,0,1.2,0.2,0,0,0,1,9,0,0.8,0.2,0.6,0,2.1999999999999997,0,1,
00:11,0,1.7999999999999998,0,0,0,0,0.6,9,0,0,0.8,0.4,0,3.2,0,0.8,
00:12,0,0.2,0,0,0.4,0,0.4,7.8,0,0,0.2,0.4,0,3.5999999999999996,0,0.6,
00:13,0,1.4000000000000001,0,0,0,0,0.6,12.2,0,0,0,0.2,0,2.1999999999999997,0,0,
00:14,1235.6,842.2,2129.2000000000003,1733.3999999999999,1333,1600,1031.2,1734.4,1410.6,478.4,243.6,152.2,1081.2,31.4,2.6,5.800000000000001,
00:15,2199.4,1342.6,3714.2000000000003,2785.6000000000004,1929.7999999999997,3084,1886.8,3259.7999999999997,2925,1048.8,463.6,251.39999999999998,1668,153.6,5.6000000000000005,0,
00:16,2209.2,1403.4,3754.6,3026.4,2050.4,2959,1899.8000000000002,3128,2738.8,981.6,467,277.59999999999997,1696,70.8,5.6000000000000005,0,
00:17,2195.7999999999997,1438.4,3705.6,2942.4,2137.4,2947.8,1860.0000000000002,3158.4,2725.7999999999997,974.2,473.59999999999997,265.2,1766.8,36,5.800000000000001,0,
00:18,1281.4,871.4000000000001,2206.4,1803.2,1341.2,1612.8,1059.8000000000002,1756.4,1494.4,535.6,259.2,156.8,1108.8,31.8,2.4,11.200000000000001,
00:19,0,1,0.6,0,0,0.6,1.4000000000000001,9.2,0,0,0.4,1.2,0,2.1999999999999997,0,0,
00:20,0,0.6,0,0,0,0,0.4,9.6,0,0.8,0.4,0.4,0,3.4000000000000004,0,0.2,
00:21,0,1.7999999999999998,0,0,0,0,1.4000000000000001,11.4,0,0,0.2,0.4,0,2,0,0.2,
00:22,0,0.2,0,0,0.8,0,0.4,11.4,0,0,0,0.2,0,0.4,0,0.2,
00:23,0,1,0.4,0,0,0,0.8,10.2,0,0,0,0.2,0,2.6,0,0,
00:24,1269.4,728.2,2114,1678,1121.4,1716.1999999999998,1115.4,1800.6,1441.6000000000001,475.8,251.39999999999998,179.6,1045.4,59.4,2,0,
00:25,2244,1294.4,3743.2000000000003,2977.7999999999997,2000.6,3059.2,1964,3209.4,2609,873.6,439.79999999999995,328.4,1818.6,98.6,5.2,0,
00:26,2251.2,1298.4,3743.8,3011.7999999999997,1934.6,3047.6,1971.3999999999999,3190.4,2596.6,877.6,442.2,334.8,1844.2,113.79999999999998,5.2,0,
00:27,1689.8,1005.8,2844.4,2274.4,1438,2258,1485,2341,1903.6000000000001,653.2,323.6,265,1435.2,105.60000000000001,2.4,0,
00:28,0,0.6,0.6,0,0,0,0.2,11.4,0,0,0,0.2,0,2.4,0,0,
00:29,0,0.8,0,0,0,0,0.4,10.2,0,0.6,0.2,0,0,2.1999999999999997,0,0,
00:30,0,1.2,0,0,0,0,0.2,11,0,0.4,0.8,0.4,0,4.2,0,0.6,
00:31,0,0.6,0,0,0,0,0.2,10.6,0,0,0.4,0.4,0,2.1999999999999997,0,0,
00:32,0,0.6,0,0,0,0,0.2,12.8,0,0,0,0.8,0,3.4000000000000004,0,0,
00:33,0,1.4000000000000001,0,0,0,0,0.4,10.2,0,0,0,0.2,0,1.4000000000000001,0,0.8,
00:34,0,1,0,0,0,0,0.8,13,0,0,0.2,0.2,0,1.6,0,0,
00:35,322.6,189.39999999999998,562.8,415.2,306,391,246.8,431.4,352.8,121.8,49.8,37.8,339,31.2,0,0,
00:36,2229.7999999999997,1347,3815.4000000000005,2912.8,2047,2773.4,1818.1999999999998,3050.2,2506.8,882.8,308.40000000000003,376.79999999999995,2204.2000000000003,171.8,7.6,0,
00:37,2235.2,1409.2,3826.6,3020.6,1999.4,2765.4,1820.7999999999997,3018.2,2425.7999999999997,888.4000000000001,308.2,384.6,2290.4,181.4,7.8,0,
00:38,2221.6,1364.2,3828.2,2994.8,1980.8,2731.2000000000003,1810.0000000000002,3023,2473.8,933.4,314.40000000000003,375,2257.6,186.4,7.8,0,
00:39,372.40000000000003,234.60000000000002,640,514.8,304.8,475.2,309.8,505.40000000000003,400.8,151.2,55.60000000000001,57.4,379.2,43.8,0,0.2,
00:40,0,1,0,0,0,0,0.4,13,0,0,0,0.2,0,3.5999999999999996,0,0.2,
00:41,0,0.4,0,0,0,0,0.2,14.799999999999999,0,0,0,0,0,0.6,0,0,
00:42,0,0.8,0,0,0,0,0.2,14.2,0,0,0,0.2,0,3,0,0,
00:43,0,1.4000000000000001,0,0,0,0,0.6,13,0,0,0,0.2,0,3.2,0,0,
00:44,0,0.6,0,0,0,0,0,11.4,0,0,0.2,0.2,0,3.4000000000000004,0,0.2,
00:45,0,0.2,0,0,0,0,0.2,11.600000000000001,0,0.2,0.4,0.4,0,3,0,0,
00:46,0,1,1.2,0,0,0,0.2,11.600000000000001,0,0,0,0.4,0,4.6,0,0.2,
00:47,0,1.2,0.4,0,0,0,0.6,12.8,0,0,0,0.2,0,2.4,0,0,
00:48,0,1,0.8,0,0,0,1.4000000000000001,14.000000000000002,0,0,0,0.2,0,0.4,0,0,
00:49,0,0.4,0,0,1,0,0,9,0,0,0.2,1.4000000000000001,0,2,0,1.2,
00:50,0,0.2,0,0,0,0,0,12.4,0,0,0,0.4,0,3,0,0,
00:51,0,1,0,0,0,0,0.4,14.000000000000002,0,0,0,0.4,0,2.4,0,0,
00:52,0,1.4000000000000001,0,0,0,0,1,14.6,0,0,0,0.2,0,3,0,0,
00:53,0,0.2,0.4,0,0,0,0,12.8,0,0,0.2,0.2,0,2,0,0.2,
00:54,0,0.8,1,0,0,0,0.6,13.4,0,1,0,0.2,0,1.7999999999999998,0,0,
00:55,0,1.2,0,0,0,0,0,16.8,0,0,0,0.2,0,1.7999999999999998,0,0,
00:56,0,2,0,0,0,0,0,15.8,0,0,0,0.2,0,3.8,0,0.8,
00:57,0,1.4000000000000001,1.2,0.2,0,0,1,15,0,0,0.6,0.4,0,3.2,0,0.6,
00:58,0,0.6,0,0,0,0,0.4,14.399999999999999,0,0,0,0.2,0,4,0,0,
00:59,0,1.6,0,0.2,0,0,0.8,15.2,0,0,0,0.2,0,3,0,0,
01:00,0,0.8,1.4000000000000001,0,0,0,0.2,13.600000000000001,0,0,0,0.4,0,3,0,0,
01:01,0,1,0.8,0,0.8,0,0.2,13,0,0,0,0.8,0,2.6,0,0,
01:02,0,0.6,0,0,0,0,0.4,14.399999999999999,0,0,0,0.4,0,3,0,0.2,
01:03,0,1.2,0,0,0.6,0.2,0.4,13.200000000000001,0,0,0,1.4000000000000001,0,2,0,0.4,
01:04,0,0.4,0.2,0,1,0.4,0.6,12.8,0,0,0,1,0,0.6,0,0,
01:05,0,0.6,1.6,0,0,0,0.6,14.000000000000002,0,0,0,0.8,0,1.6,0,0,
01:06,0,1.4000000000000001,0,0,0,0,0,16.8,0,0.2,0.2,0.2,0,2.1999999999999997,0,0,
01:07,0,0.6,0.2,0,0,0,0,11,0,0.2,0.4,0.2,0,3.4000000000000004,0,1.4000000000000001,
01:08,0,0.6,0.6,0,0,0,0.4,15.2,0,0,0,0.2,0,0.6,0,0,
01:09,0,1,0,0,0,0,0.2,15.6,0,0,0,0.2,0,3.2,0,0,
01:10,0,1.4000000000000001,0,0,0,0.4,1.7999999999999998,13,0,0.6,0,1.2,0,2.4,0,0,
01:11,0,1.2,0,0,0,0,1.7999999999999998,14.2,0,0,0,0,0,4.3999999999999995,0,0,
01:12,0,2,0,0,0,0,2,16.6,0,0,0,0,0,4.3999999999999995,0,0,
01:13,0,1,0,0,0,0,2,13.600000000000001,0,0,0.2,0,0,4.2,0,0,
01:14,0,1.4000000000000001,0,0,0,0,1.7999999999999998,15.8,0,0,0,0.2,0,4.8,0,0,
01:15,0,2,3.2,0,0,0,3,17,0,0,0,0,0,3,0,0,
01:16,0,2.1999999999999997,0,0,0,0,1.6,12.4,0,0,0.2,0,0,7.8,0,0,
01:17,0.2,2.1999999999999997,0,0,0,0,3,14.399999999999999,0,0.2,0.4,1.2,0.2,6,0,0,
01:18,0,1.7999999999999998,0.2,0,0,0,3.2,17.2,0,0,0,0,0,1.4000000000000001,0,0,
01:19,0,1.6,0,0,0,0,2.1999999999999997,15,0,0,0.2,0.2,0,4.3999999999999995,0,0,
01:20,0,1.2,0.8,0,0,0,2.6,14.000000000000002,0,0.2,0.8,0.6,0,2.4,0,0,
01:21,0,1.7999999999999998,0.8,0,0,0,2.8000000000000003,13.4,0,0,0.4,0.2,0,4.6,0,0,
01:22,0,1.6,0,0,0,0,2.4,15.8,0,0.2,0.4,0.2,0,4,0,0,
01:23,0,2.1999999999999997,0.4,0,0,0,3.5999999999999996,17,0,0,0,0,0,2.8000000000000003,0,0,
01:24,0,1.7999999999999998,0,0,0,0,1.7999999999999998,16.2,0,0,0,0,0,3.8,0,0,
01:25,0,1.4000000000000001,0.8,0,0,0,2.4,15.6,0,0.2,0.6,0,0,3.2,0,0,
01:26,0,0.8,0.8,0,0,0,1.6,15,0,0,0,0,0,4.2,0,0,
01:27,0,1.2,1.4000000000000001,0.2,1.4000000000000001,0,3,14.799999999999999,0,0,0,1,0,4.3999999999999995,0,0,
01:28,0,2.6,0,0,0,0,2.1999999999999997,14.6,0,0.2,0.6,0.2,0,5.2,0,0.2,
01:29,0,1.2,0,0,0,0,2.1999999999999997,15.8,0,0,0,0,0,4,0,0,
01:30,0,1.2,0,0,0,0,1.6,16,0,0,0,0,0,4.3999999999999995,0,0,
01:31,0,2,1.7999999999999998,0,0,0,3.2,13.4,0,0,0.4,0.2,0,2.1999999999999997,0,0.4,
01:32,0,1.6,0,0,0,0,1.6,14.6,0,0,0,0,0,4.8,0,0,
01:33,0,1.7999999999999998,0.8,0,0,0,2.6,15.6,0,0,0,0,0,2.8000000000000003,0,0,
01:34,0,2,0,0,0,0,1,12.8,0,0.4,0.4,0.2,0,8,0,0,
01:35,0,1.7999999999999998,0,0,0,0,2.4,16.400000000000002,0,0,0,0.2,0,3,0,0,
01:36,0,1.6,0,0,0,0,2,15,0,0,0,0.2,0,4.2,0,0,
01:37,0,0.6,1.6,0,0,0,0.8,4.6,0,0,0.8,7.6,0,1.6,0,0.2,
01:38,0,0,1,0,0,0.4,0,1.4000000000000001,0,0,0.4,8.799999999999999,0,0.2,0,0.2,
