時間,Group1_Production_産業機械_#06,Group2_Production_産業機械_#09,Group3_Production_産業機械_#01,Group3_Production_産業機械_#03,Group3_Production_産業機械_#12,Group3_Production_産業機械_#14,Group3_Production_産業機械_#15,Group4_Production_産業機械_#04,Group4_Production_産業機械_#10,Group5_Production_製造機械_#02,Group5_Production_製造機械_#08,Group5_Production_製造機械_#13,Group6_Production_産業機械_#05,Group6_Production_産業機械_#07,Group6_Production_産業機械_#11,Group7_Production_産業機械_#16,
00:00,14.6,0,133.4,210,156.8,259,159.60000000000002,191.2,233.2,34,82.8,47.4,30.599999999999998,23.799999999999997,64.4,8.6,
00:01,11.200000000000001,1,137.20000000000002,207.39999999999998,158.6,251.6,155.8,195,235.4,34,77.60000000000001,44.6,35,32.4,68.4,8.6,
00:02,12.2,0.2,135.20000000000002,202.8,161,255.6,157.20000000000002,191.4,238,34,75,43.6,35.6,37.8,66.2,8.799999999999999,
00:03,9.4,1,137.4,202,162,247.2,152,197.2,237,36,73.8,43.2,35.8,40.6,70.8,8.200000000000001,
00:04,15.4,0,22.2,30.8,13.200000000000001,88.4,11.600000000000001,15.6,21.6,4,5,15.2,3.2,5.2,32,0,
00:05,16.6,0.4,12.2,14.399999999999999,0,75,0,0,0,0.8,0,13,0,0.8,28.000000000000004,0,
00:06,16.6,0.4,12.2,14.6,0,75,0,0,0,0.8,0,12.8,0,0.6,28.000000000000004,0,
00:07,16.6,0.6,12.4,14.6,0,75.4,0,0,0,1,0,12.8,0,0.4,28.4,0,
00:08,16.8,0.8,12.4,15,0.2,76,0,0,0,1.2,0,12.6,0,0.4,28.000000000000004,0,
00:09,16.400000000000002,0.2,12,14.2,0,74.8,0,0,0,0.6,0,13,0,0.8,27.800000000000004,0,
00:10,16.8,0.8,12.4,15,0,75.8,0,0,0,1.2,0,12.6,0,0,28.000000000000004,0,
00:11,16.6,0.4,12.2,14.6,0,75.4,0,0,0,0.8,0,13,0,0.8,28.000000000000004,0,
00:12,16.6,0.4,11.600000000000001,14.399999999999999,0,75.4,0,0,0,1,0,13.200000000000001,0,0.6,27.200000000000003,0,
00:13,16.400000000000002,0.2,11.799999999999999,14.399999999999999,0,74.2,0,0,0,0.8,0,12.8,0,1.4000000000000001,27.6,0,
00:14,16.400000000000002,0,11.799999999999999,14.2,0,74.8,0,0,0,0.6,0,13,0,1,27.800000000000004,0,
00:15,16.2,0,12.2,14.2,0,74.4,0,0,0,0.6,0,12.6,0,1.4000000000000001,28.000000000000004,0,
00:16,16.6,0.4,12.2,14.000000000000002,0,75.6,0,0,0,0.8,0,13,0,1,27.800000000000004,0,
00:17,17,0.8,12,15.4,0,76.2,0,0,0,1.2,0,13.200000000000001,0,0,27.400000000000002,0,
00:18,16.400000000000002,0,12,14.000000000000002,0,75,0,0,0,0.6,0,13,0,1.2,27.6,0,
00:19,16.2,0.2,12,14.399999999999999,0,74.8,0,0,0,0.6,0,12.8,0,1,27.6,0,
00:20,17,0.6,12.2,14.6,0,75.8,0,0,0,1,0,13.200000000000001,0,0.6,28.000000000000004,0,
00:21,16.400000000000002,0.4,12.4,14.000000000000002,0,75.6,0,0,0,0.8,0,12.8,0,1.2,28.199999999999996,0,
00:22,17,0.8,11.799999999999999,14.799999999999999,0.2,76.4,0,0,0,1.2,0,13.200000000000001,0,0.2,27.400000000000002,0,
00:23,17.2,0.6,12.4,15,0,76.6,0,0,0,1,0,13.4,0,0,27.6,0,
00:24,17.2,0.8,12.6,15,0,76.8,0,0,0,1,0,13.200000000000001,0,0.2,28.199999999999996,0,
00:25,17,1,12.8,15.2,0,76.6,0,0,0,1,0,12.6,0,0,28.4,0,
00:26,16.8,0.6,12.4,15,0,76.2,0,0,0,0.8,0,13,0,0.2,28.4,0,
00:27,16.6,0,12.4,14.6,0,76.2,0,0,0,0.6,0,13,0,0.6,28.599999999999998,0,
00:28,17,0.6,12.4,14.799999999999999,0,76.8,0,0,0,1,0,13.200000000000001,0,0.2,28.4,0,
00:29,16.6,0,12.8,14.399999999999999,0,76,0,0,0,0.6,0,13,0,0.2,29.2,0,
00:30,16.400000000000002,0,12.6,14.2,0,75.6,0,0,0,0.6,0,13,0,0.6,28.799999999999997,0,
00:31,16.400000000000002,0,12.4,14.2,0,75.8,0,0,0,0.6,0,13,0,0.6,28.799999999999997,0,
00:32,16.400000000000002,0,12.6,14.000000000000002,0,75.8,0,0,0,0.6,0,13,0,0.8,28.999999999999996,0,
00:33,17,0.6,12.6,15,0,76.6,0,0,0,1,0,13,0,0.2,28.199999999999996,0,
00:34,17.2,1,12.6,15.4,0,76.6,0,0,0,1,0,13,0,0,28.199999999999996,0,
00:35,17,0.6,12.6,14.799999999999999,0.2,76.2,0,0,0,1,0,13.200000000000001,0,0.4,28.599999999999998,0,
00:36,16.8,0.4,12.8,14.799999999999999,0,76.4,0,0,0,0.8,0,13.200000000000001,0,0.4,28.799999999999997,0,
00:37,17.4,1,12.6,15.6,0,76.8,0,0,0,1.2,0,13.200000000000001,0,0,28.4,0,
00:38,19.400000000000002,5.4,106.80000000000001,125.8,120.19999999999999,189.39999999999998,115.19999999999999,138.39999999999998,145.6,18.8,39.2,33,29.799999999999997,18.6,52.800000000000004,5.2,
