時間,Group1_Production_包装機(産業機械)_#06,Group1_Production_包装機(産業機械)_#16,Group2_Production_産業機械_#04,Group2_Production_産業機械_#05,Group2_Production_産業機械_#08,Group2_Production_産業機械_#11,Group2_Production_産業機械_#13,Group3_Production_成形機(産業機械)_#02,Group4_Production_産業機械_#03,Group4_Production_産業機械_#09,Group4_Production_産業機械_#12,Group5_Production_産業機械_#14,Group6_Production_産業機械_#01,Group7_Production_産業機械_#07,Group8_Production_産業機械_#15,Group9_Production_産業機械_#10,
00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:16,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.4,0,0,
00:17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:18,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0.2,
00:19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:25,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0.2,
00:26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
00:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
