時間,Group1_Production_産業機械_#06,Group2_Production_産業機械_#09,Group3_Production_産業機械_#01,Group3_Production_産業機械_#03,Group3_Production_産業機械_#12,Group3_Production_産業機械_#14,Group3_Production_産業機械_#15,Group4_Production_産業機械_#04,Group4_Production_産業機械_#10,Group5_Production_製造機械_#02,Group5_Production_製造機械_#08,Group5_Production_製造機械_#13,Group6_Production_産業機械_#05,Group6_Production_産業機械_#07,Group6_Production_産業機械_#11,Group7_Production_産業機械_#16,
00:00,24.4,6.2,276.6,337.2,318.2,376.6,331,375.4,426,53.2,94.19999999999999,68.2,74.8,27,101.2,18.8,
00:01,122,156.6,1389.6000000000001,2271.3999999999996,1580.6,2517.8,1309,2091.7999999999997,1409.8000000000002,554.6,783,340,463.99999999999994,1715.4,1315.6000000000001,28.599999999999998,
00:02,208.6,379.4,1236.8,1989.6000000000001,1676.6,1876.3999999999999,1340.6000000000001,1140.4,1156,324.8,383.2,298,457.2,1610.2,963.0000000000001,0,
00:03,101,205.79999999999998,1130.6,1924.6,1440.1999999999998,2219.2,1139,2081,1196.2,514.8,822.1999999999999,297.8,488.2,1745,1169.4,16.6,
00:04,170.4,493.20000000000005,1321,1965.4,1450.3999999999999,2024.8000000000002,1185.8,1680.2,967.8000000000001,508.4,790.6,306.8,465.59999999999997,1297.2,965.1999999999999,0,
00:05,200.8,588.8,833.4,1475.6,1137.2,1316.2,673.6,973.6,598.4,337.59999999999997,895.8000000000001,542.6,386,1753.6000000000001,956.8,0,
00:06,136,313.6,988.8,1613,1069.4,1665.8000000000002,1127.2,744.6,1432.4,258,405.40000000000003,268.2,436.00000000000006,1900.6,961.4000000000001,0,
00:07,117.6,184.4,976,1842.6,1652.4,1956.8000000000002,1015.4,1529,1505.6,405.99999999999994,855.4,259,477.20000000000005,1804.7999999999997,991.2,0,
00:08,158,378.4,886.4000000000001,1261.4,1056.6000000000001,1631.6,875.8,880.4,851.6,233,547.2,206.99999999999997,384,1448.8,913.0000000000001,10.8,
00:09,82,139,961.8000000000001,1353,1349.2,1688.2,978.4000000000001,1237.6,1278.6,270.6,585.6,229.6,364.8,806.4,697.6,35.199999999999996,
00:10,139.79999999999998,174.8,567.6,1080.8,601.6,947.1999999999999,621.6,649.2,833.2,202.59999999999997,292.8,165,259.4,1105.2,605.6,0,
00:11,99.8,63.800000000000004,1466.8,2237.4,1571.8,2525.7999999999997,1250,1729,1589,479,553.2,343.40000000000003,547.2,2103.2,1346.8,23,
00:12,93,34.4,635.2,1149.2,689.6,1283.3999999999999,665.2,779,746,243.4,352.4,175.4,264.59999999999997,1168.2,722.2,0,
00:13,28.4,8,282.6,330.6,326,377.2,334,384,420.4,51.2,105,66,81,29.599999999999998,102.60000000000001,19,
00:14,88,34.2,924.6,1415.6000000000001,1160,1576,1226,1265.6000000000001,1466.8,291.8,463,218.6,358.59999999999997,1080.6,744.4,22.400000000000002,
00:15,196.2,238.20000000000002,770.8000000000001,1587.6,1190.8,1354.2,885.3999999999999,1177.2,890.4,387,443.6,216.6,383.2,1558.8,820.4000000000001,0,
00:16,129.20000000000002,191.79999999999998,1080.4,1386.8,1057,1424.4,1189.2,984,1051.3999999999999,196.4,309,250.59999999999997,309.4,888.8,577.8,34.8,
00:17,197.6,221,1294.4,2167.6,1463,1858.8000000000002,1520.2,1611.1999999999998,1715.6,315,642.8,361.4,410.20000000000005,1441.2,816.2,59.8,
00:18,146.6,311,1461,2458.4,1447.4,2138.2000000000003,1568.3999999999999,1160.6,1644.8,309,449.2,364.2,660.2,1910.6000000000001,999.2,35.199999999999996,
00:19,140.39999999999998,469.00000000000006,996.1999999999999,2026.3999999999999,1154.6,1907.6000000000001,697.8,1805.9999999999998,747,551.6,872.4,303.79999999999995,468.40000000000003,2023.4,1229.6,0,
00:20,174.4,471.6,1081.6000000000001,1385,1527.6,1806.8000000000002,873.4,786.8000000000001,828.8000000000001,365.8,422.6,418.20000000000005,487.4,1494.6,1042,0,
